date,upi_volume,upi_value,Volume_Growth,Value_Growth,Rolling_Mean_Growth,Rolling_Volatility
2025-01-16,5330.99,71787.04,-0.0008228092469515502,-0.010720325622724958,0.0003060181334802492,0.03570306761427155
2025-01-17,5374.03,71032.39,0.008073547314851437,-0.010512343175035466,0.00022662643400572002,0.0356766055930724
2025-01-18,5391.77,68860.95,0.003301060842608061,-0.030569716153433735,0.0002766583646295329,0.03567738159574343
2025-01-19,5306.5,56364.25,-0.01581484373406139,-0.18147731043501425,0.000536162848122006,0.035462223004252606
2025-01-20,5436.44,78187.93,0.0244869499670215,0.3871901072044779,0.0011319544167667527,0.035357927331601084
2025-01-21,5308.28,72609.39,-0.023574250796477125,-0.07134784102865999,0.001087971101052665,0.03538616874185429
2025-01-22,5415.29,72846.1,0.02015907224185609,0.0032600466688950114,0.0011053382141247093,0.03539518721929843
2025-01-23,5268.29,69306.15,-0.027145360636272486,-0.04859491448409747,0.0010171197275360355,0.03545504367338225
2025-01-24,5367.16,69561.04,0.018767000298009373,0.003677739998542595,0.0009385903434259113,0.035406426583849265
2025-01-25,5530.17,67121.44,0.030371742224938325,-0.035071356034929724,0.001329611442924633,0.035514319381194676
2025-01-26,5173.03,51023.09,-0.06458029319171021,-0.23983916316455678,0.0005723119557663203,0.03610531078785964
2025-01-27,5346.75,74950.26,0.033581865947036826,0.4689478822235189,0.0008168102672144983,0.0362463703649626
2025-01-28,5327.98,72270.63,-0.0035105437882826385,-0.035752110799882386,0.0007291225590774253,0.036246123860429705
2025-01-29,5327.46,70929.65,-9.759796395625298e-05,-0.018554978696048607,0.0010864898373444387,0.036057669096990375
2025-01-30,5359.41,76012.84,0.005997229448930552,0.07166523449643414,0.0011368157161045966,0.036061009164915996
2025-01-31,5721.28,91469.83,0.06752049199445453,0.203347092412282,0.0016312854727078053,0.03663011021081762
2025-02-01,6047.54,99835.69,0.057025700542536084,0.09146032085114841,0.0023809931017947893,0.03699083070999245
2025-02-02,5916.04,75620.6,-0.021744378706052392,-0.24254943297331844,0.0020170050556252072,0.03704787808467107
