date,upi_volume,upi_value
2021-12-13,1407.12,26943.56
2021-12-14,1484.81,28016.55
2021-12-15,1512.54,28838.73
2021-12-16,1456.96,26447.76
2021-12-17,1461.15,24999.17
2021-12-18,1451.23,24668.99
2021-12-19,1402.14,19087.16
2021-12-20,1489.36,29184.65
2021-12-21,1467.81,27086.37
2021-12-22,1489.94,26892.86
2021-12-23,1494.64,26454.72
2021-12-24,1491.2,25817.61
2021-12-25,1448.92,22122.87
2021-12-26,1357.26,17623.74
2021-12-27,1436.37,26037.07
2021-12-28,1445.59,26113.2
2021-12-29,1420.78,25271.47
2021-12-30,1491.52,27540.86
2021-12-31,1683.97,32283.86
2022-01-01,1585.27,27278.48
2022-01-02,1531.66,24750.74
2022-01-03,1614.87,32979.67
2022-01-04,1595.01,32214.37
2022-01-05,1591.71,31730.45
2022-01-06,1589.44,30771.67
2022-01-07,1621.33,30569.5
2022-01-08,1547.07,26520.13
2022-01-09,1212.96,18265.68
2022-01-10,1650.53,33273.67
2022-01-11,1563.23,30052.59
2022-01-12,1590.55,30181.55
2022-01-13,1565.06,28747.57
2022-01-14,1445.09,23852.4
2022-01-15,1378.0,21970.51
2022-01-16,1311.22,18000.91
2022-01-17,1487.62,27641.24
2022-01-18,1465.03,26732.97
2022-01-19,1501.62,27400.76
2022-01-20,1459.3,27092.83
2022-01-21,1477.4,26652.65
2022-01-22,1422.39,23272.13
2022-01-23,1317.35,17525.56
2022-01-24,1450.3,28414.48
2022-01-25,1460.12,27920.07
2022-01-26,1404.28,21232.52
2022-01-27,1437.6,27360.06
2022-01-28,1454.86,26942.28
2022-01-29,1390.55,24872.5
2022-01-30,1437.84,21176.51
2022-01-31,1612.3,36596.64
2022-02-01,1727.27,38167.32
2022-02-02,1666.46,34757.09
2022-02-03,1646.71,33265.3
2022-02-04,1622.84,32036.03
2022-02-05,1655.22,31339.7
2022-02-06,1549.3,23445.48
2022-02-07,1664.91,33670.85
2022-02-08,1667.98,32682.18
2022-02-09,1718.83,32468.47
2022-02-10,1646.32,31703.55
2022-02-11,1665.02,30697.0
2022-02-12,1632.81,27942.54
2022-02-13,1588.4,22271.87
2022-02-14,1675.9,32609.4
2022-02-15,1649.61,31888.77
2022-02-16,1653.18,30212.49
2022-02-17,1599.93,29053.85
2022-02-18,1610.88,27226.8
2022-02-19,1558.32,25778.25
2022-02-20,1549.44,21128.33
2022-02-21,1578.14,29480.41
2022-02-22,1474.01,27023.99
2022-02-23,1421.16,24444.21
2022-02-24,1679.23,32003.16
2022-02-25,1599.27,29271.51
2022-02-26,1606.8,26149.22
2022-02-27,1572.88,21228.83
2022-02-28,1594.07,34896.42
2022-03-01,1711.64,33758.22
2022-03-02,1794.57,37033.35
2022-03-03,1794.51,36252.3
2022-03-04,1779.04,35210.29
2022-03-05,1840.21,35370.65
2022-03-06,1725.69,26113.76
2022-03-07,1817.79,37285.22
2022-03-08,1793.65,34545.89
2022-03-09,1808.25,34882.05
2022-03-10,1815.4,34890.75
2022-03-11,1783.45,32377.05
2022-03-12,1765.19,29318.33
2022-03-13,1704.03,23152.81
2022-03-14,1774.35,33957.67
2022-03-15,1766.92,33340.64
2022-03-16,1804.56,33221.88
2022-03-17,1807.54,31166.73
2022-03-18,1489.27,18869.04
2022-03-19,1644.78,25247.27
2022-03-20,1588.62,21237.31
2022-03-21,1722.99,31841.8
2022-03-22,1673.03,29566.9
2022-03-23,1698.64,29859.79
2022-03-24,1695.82,29588.27
2022-03-25,1709.3,29741.97
2022-03-26,1760.5,27909.08
2022-03-27,1708.97,21937.12
2022-03-28,1713.71,30755.25
2022-03-29,1716.2,29737.75
2022-03-30,1771.98,33222.54
2022-03-31,1875.91,39189.99
2022-04-01,1759.96,31501.34
2022-04-02,1904.37,34305.57
2022-04-03,1816.66,28996.32
2022-04-04,1932.97,41530.22
2022-04-05,1934.18,39370.19
2022-04-06,1892.45,37401.11
2022-04-07,1924.91,37184.6
2022-04-08,1915.95,35133.63
2022-04-09,1963.77,33429.07
2022-04-10,1829.57,26380.29
