bank,market_share,market_share_squared,HHI
the banaskantha district central coop bank,0.00034637822263749134,1.199778731175075e-07,0.10041754106594854
abhyudaya,0.00034488811954439257,1.1894781500286722e-07,0.10041754106594854
the bharat co operative bank mumbai,0.00033465188807090093,1.1199188618941881e-07,0.10041754106594854
slice small finance,0.0003288375334873124,1.081341234300193e-07,0.10041754106594854
jharkhand rajya gramin erstwhile vananchal gramin,0.00032792871178340143,1.0753724001192117e-07,0.10041754106594854
nsdl,0.00032312664939353094,1.0441083154828987e-07,0.10041754106594854
amazon,0.0003076717102582832,9.466188129325698e-08,0.10041754106594854
the gayatri cooperative urban bank,0.00030690649241441926,9.419159508612198e-08,0.10041754106594854
idbi bank,0.0003057930379927259,9.350938208482069e-08,0.10041754106594854
punjab gramin,0.00030201144743642903,9.121091438264694e-08,0.10041754106594854
dcb bank,0.00030033492189854516,9.020106531180523e-08,0.10041754106594854
g p parsik sahakari bank,0.00029780799552826527,8.868960220056326e-08,0.10041754106594854
prathama up gramin erstwhile sarva up gramin,0.00029196569293053233,8.524396584840589e-08,0.10041754106594854
janata sahakari,0.00027858960978602727,7.761217068073093e-08,0.10041754106594854
uttarakhand gramin bank imps,0.0002733236746761983,7.470583113850027e-08,0.10041754106594854
suryoday small finance,0.00027216809070439786,7.407546959767734e-08,0.10041754106594854
north east small finance,0.0002716408912597181,7.378877380437401e-08,0.10041754106594854
idfc bank credit card,0.0002572693983544389,6.618754332965497e-08,0.10041754106594854
fincare small finance,0.00024096989884339658,5.806649214859678e-08,0.10041754106594854
dakshin bihar gramin erstwhile madhya bihar gramin,0.00023788131600423055,5.6587520503904595e-08,0.10041754106594854
yes bank,0.00021829677617889173,4.765348249009715e-08,0.10041754106594854
indus ind bank,0.0002125094202555853,4.5160253697364965e-08,0.10041754106594854
baroda gujarat gramin,0.00021068902752012527,4.4389866317376105e-08,0.10041754106594854
deutsche,0.0002072286775268673,4.2943724789534354e-08,0.10041754106594854
deutsche bank,0.00020529274966308146,4.214511306422863e-08,0.10041754106594854
idfc first,0.00020366243280094657,4.147838653440008e-08,0.10041754106594854
the kalupur commercial coop bank,0.00019713307086535473,3.8861447628804973e-08,0.10041754106594854
