bank,market_share,market_share_squared,HHI
ahmednagar shahar sahakari bank maryadit,9.196000568343598e-06,8.456642645297578e-11,0.10041754106594854
dhanalakshmi bank,9.195529066958173e-06,8.455775482127264e-11,0.10041754106594854
puduvai bharathiar grama,9.177901015809126e-06,8.42338670559902e-11,0.10041754106594854
manvi pattana souharda sahakari bank ni,9.133028257274652e-06,8.341220514817727e-11,0.10041754106594854
jana small finance,9.069514382072692e-06,8.22560911266234e-11,0.10041754106594854
the nasik road deolali vyapari sahakari bank,9.006309037042008e-06,8.111360247070453e-11,0.10041754106594854
the nanded merchants coop bank,8.935426457948241e-06,7.984184598540145e-11,0.10041754106594854
madurai district central,8.854574413013067e-06,7.84034880355857e-11,0.10041754106594854
villupuram district central,8.820327284754977e-06,7.77981734101931e-11,0.10041754106594854
gp parsik sahakari,8.657765023562608e-06,7.495689520322405e-11,0.10041754106594854
shri basaveshwar sahakari bank nyt bagalkot,8.523787193705758e-06,7.265494812358229e-11,0.10041754106594854
almora urban cooperative bank,8.495726285183244e-06,7.217736511275348e-11,0.10041754106594854
the erode district central cooperative bank,8.47412603958885e-06,7.18108121348378e-11,0.10041754106594854
the district cooperative central bank,8.458459514542956e-06,7.154553735916225e-11,0.10041754106594854
the bharuch district central coop bank,8.417818649201438e-06,7.085967081084353e-11,0.10041754106594854
the kumbakonam central cooperative bank,8.361711958465019e-06,6.99182268763369e-11,0.10041754106594854
the raigad district co operative bank ltd alibag,8.282754370472925e-06,6.860401996158834e-11,0.10041754106594854
the kodinar taluka cooperative banking union,8.201282403213114e-06,6.726103305725306e-11,0.10041754106594854
bank of america,8.175416157516224e-06,6.683742934857734e-11,0.10041754106594854
sterling urban cooperative bank,8.137072383412634e-06,6.621194697289656e-11,0.10041754106594854
nilgiris district central,8.091475584324561e-06,6.547197713172049e-11,0.10041754106594854
vasai janata sahakari bank,7.98615289840493e-06,6.377863811670146e-11,0.10041754106594854
shree panchganga nagari sahakari bank,7.903463681359137e-06,6.246473816256293e-11,0.10041754106594854
dahod urban cooperative bank,7.89741442091708e-06,6.236915453570906e-11,0.10041754106594854
kankaria maninagar nagarik sahakari bank,7.871100656159168e-06,6.195422553938928e-11,0.10041754106594854
samata sahakari bank,7.868833682396141e-06,6.191854352121202e-11,0.10041754106594854
the junagarh jilla shakari bank,7.847789705589781e-06,6.158780326316094e-11,0.10041754106594854
surat national coop bank,7.706903066234164e-06,5.939635487232955e-11,0.10041754106594854
kalyan janata sahakari bank,7.603415463179903e-06,5.781192670572326e-11,0.10041754106594854
tumkur grain merchants coop bank,7.573034777409789e-06,5.735085573985813e-11,0.10041754106594854
the chikhli urban coop bank,7.569759610421067e-06,5.7301260559562096e-11,0.10041754106594854
nutan nagarik sahakari,7.554430287942528e-06,5.7069416975383424e-11,0.10041754106594854
mahaveer cooperative urban bank,7.524958835208431e-06,5.6625005471581426e-11,0.10041754106594854
the kodagu district coop central bank,7.401167300145167e-06,5.47772774047381e-11,0.10041754106594854
rajadhani coop urban bank,7.387588197370724e-06,5.457645937393122e-11,0.10041754106594854
the business co operative bank,7.382559885103656e-06,5.4502190457141705e-11,0.10041754106594854
navi mumbai cooperative bank,7.257948579688385e-06,5.267781758540065e-11,0.10041754106594854
citizen cooperative bank,7.228034202062887e-06,5.224447842619088e-11,0.10041754106594854
jamia cooperative bank,7.160908621497669e-06,5.127861228543965e-11,0.10041754106594854
jijamata mahila sahakari bank,7.1249651939097666e-06,5.076512901442564e-11,0.10041754106594854
ramanathapuram district central,7.090589730660445e-06,5.027646272854736e-11,0.10041754106594854
mann deshi mahila sahakari bank,7.08103165996846e-06,5.014100936947568e-11,0.10041754106594854
lokmangal co op bank ltd solapur,7.049195837084976e-06,4.969116194957616e-11,0.10041754106594854
the raichur district central coop bank ltd raichur,6.950037510322831e-06,4.830302139489437e-11,0.10041754106594854
capital small finance,6.931798991960036e-06,4.804983726493817e-11,0.10041754106594854
surat distcoop bank,6.909776004112901e-06,4.7745004427014454e-11,0.10041754106594854
the godhra urban cooperative bank,6.881411051905038e-06,4.73538180652808e-11,0.10041754106594854
brahmadeodada mane sahakari bank ltd solapur,6.852229037066657e-06,4.695304277641944e-11,0.10041754106594854
the agrasen cooperative urban bank,6.844654885045851e-06,4.6849300495382037e-11,0.10041754106594854
the bhagyalakshmi mahila sahakari bank,6.821926766938586e-06,4.653868481347315e-11,0.10041754106594854
the kukarwada nagarik sahakari bank,6.81167867786078e-06,4.639896641042319e-11,0.10041754106594854
kerala state,6.791591782882496e-06,4.612571894531704e-11,0.10041754106594854
pali urban cooperative bank,6.657618928079126e-06,4.432388979151745e-11,0.10041754106594854
the puri urban cooperative bank,6.635014526776139e-06,4.4023417770530394e-11,0.10041754106594854
the sangamner merchants co operative bank,6.572820656718889e-06,4.320197138539053e-11,0.10041754106594854
lala urban cooperative bank,6.532565974777727e-06,4.267441821482368e-11,0.10041754106594854
ahmedabad mercantile coop bank,6.504290650889843e-06,4.230579687125302e-11,0.10041754106594854
esaf small finance,6.502542743350097e-06,4.228306212909501e-11,0.10041754106594854
the sarvodaya nagrik sahkari bank,6.484715224842463e-06,4.2051531547303637e-11,0.10041754106594854
adarniya p d patilsaheb sahakari bank ltd karad,6.438848437980576e-06,4.14587692072849e-11,0.10041754106594854
indrayani cooperative bank,6.3830762630006386e-06,4.0743662579282196e-11,0.10041754106594854
bhavna rishi co operative urban bank,6.368024760528011e-06,4.055173935069784e-11,0.10041754106594854
citizen cooperative bank ltd noida,6.343387907829347e-06,4.0238570149195585e-11,0.10041754106594854
madhya pradesh rajya sahakari bank maryadit,6.2696892277927765e-06,3.930900301310078e-11,0.10041754106594854
tirunelveli district central cooperative bank,6.228769770712223e-06,3.87975728565384e-11,0.10041754106594854
shri gajanan maharaj urban coop bank ltd bhokardan,6.223084630701578e-06,3.87267823208742e-11,0.10041754106594854
the surat mercantile coop bank,6.221882904836557e-06,3.87118268814974e-11,0.10041754106594854
the urban coop bank ltd dharangaon,6.215989068095486e-06,3.863852009468259e-11,0.10041754106594854
valsad district central co operative bank,6.203811964403901e-06,3.848728288968099e-11,0.10041754106594854
maharashtra state coop bank,6.186248479904236e-06,3.826967025511747e-11,0.10041754106594854
sampada sahakari bank ltd pune,6.110252301864508e-06,3.733518319244052e-11,0.10041754106594854
shree mahavir sahakari bank,6.110153272657853e-06,3.7333973015371466e-11,0.10041754106594854
rapipay fintech private,6.0955382690654555e-06,3.715558678964149e-11,0.10041754106594854
unity small finance bank,6.059259859832572e-06,3.671463004897824e-11,0.10041754106594854
rajkot district coop,5.934752627144765e-06,3.5221288745401695e-11,0.10041754106594854
nkgsb coop bank,5.9179945951526115e-06,3.5022660028255523e-11,0.10041754106594854
irinjalakuda town cooperative bank,5.912438143893006e-06,3.4956924805360974e-11,0.10041754106594854
pudukottai district central,5.898089544329611e-06,3.4787460272930276e-11,0.10041754106594854
the kakinada cooperative town bank,5.896412214153658e-06,3.4767676999220443e-11,0.10041754106594854
laxmi urban coop bank latur,5.76118169063632e-06,3.319121447252317e-11,0.10041754106594854
nagaur urban cooperative bank,5.731807608550605e-06,3.2853618461438604e-11,0.10041754106594854
livquik technology india pvt,5.584188563339687e-06,3.118316191093376e-11,0.10041754106594854
the sirsi urban sahakari bank ltd sirsi,5.56243997413951e-06,3.0940738465905155e-11,0.10041754106594854
the dahod mercantile coop bank,5.482614506253961e-06,3.0059061824186366e-11,0.10041754106594854
sudha cooperative urban,5.410472327237433e-06,2.9273210803802043e-11,0.10041754106594854
the cooperative bank of rajkot,5.410054260454781e-06,2.926868710106493e-11,0.10041754106594854
warangal urban cooperative bank,5.405272123598601e-06,2.921696673015213e-11,0.10041754106594854
shri bharat urban cooperative bank ltd jaysingpur,5.347428984219875e-06,2.8594996741274807e-11,0.10041754106594854
bombay mercantile coop bank lt,5.2950299863594895e-06,2.8037342556446177e-11,0.10041754106594854
cuddalore district central coop,5.276326551997172e-06,2.7839621883310367e-11,0.10041754106594854
mahanagar nagrik sahakari bank maryadit,5.268990427727494e-06,2.7762260127483957e-11,0.10041754106594854
the udaipur mahila urban coop bank,5.266718923554298e-06,2.773832821972495e-11,0.10041754106594854
nandani sahakari bank ltd nandani,5.229623139250467e-06,2.7348958178583907e-11,0.10041754106594854
the kakatiya cooperative urban bank,5.211616999689974e-06,2.716095175145753e-11,0.10041754106594854
vardhaman mahila co operative urban bank,5.124000273688126e-06,2.625537880475599e-11,0.10041754106594854
the navnirman cooperative bank,5.0470981669435835e-06,2.547319990676528e-11,0.10041754106594854
zila sahkari bank ltd lakhimpur kheri,5.009758367307325e-06,2.5097678898805755e-11,0.10041754106594854
rampur zila sahkari bank,5.0077347479818055e-06,2.5077407306144396e-11,0.10041754106594854
nainital bank,5.003224265821961e-06,2.5032253054109698e-11,0.10041754106594854
the junagadh commercial cooperative bank,4.959528335970778e-06,2.4596921315297078e-11,0.10041754106594854
the urban coop bank ltd no perinthalmanna,4.931110865307946e-06,2.4315854365958078e-11,0.10041754106594854
jampeta co operative urban bank,4.877822312136522e-06,2.3793150508776886e-11,0.10041754106594854
karnataka state coop apex bank,4.868540570559457e-06,2.3702687287183405e-11,0.10041754106594854
himatnagar nagarik sahakari bank,4.833946084416251e-06,2.3367034747043206e-11,0.10041754106594854
shri mahila sewa sahakari bank,4.8204119925886065e-06,2.323637177829206e-11,0.10041754106594854
s s l s a kurundwad urban bank,4.801639916468495e-06,2.3055745887423577e-11,0.10041754106594854
the vani co operative urban bank,4.788454754550144e-06,2.2929298936373876e-11,0.10041754106594854
sri vasavamba coop bank,4.778549862790345e-06,2.2834538791173627e-11,0.10041754106594854
virudhunagar district central,4.772571628250744e-06,2.2777439946783956e-11,0.10041754106594854
shri adinath coop bank,4.731930394308857e-06,2.2391165256583978e-11,0.10041754106594854
transerv,4.704815559239164e-06,2.2135289446458924e-11,0.10041754106594854
the commercial co operative bank ltd kolhapur,4.695736600966242e-06,2.2049942225653998e-11,0.10041754106594854
dilip urban cooperative bank,4.6788013636057005e-06,2.1891182200078562e-11,0.10041754106594854
latur urban coop bank ltd latur,4.6612458352006645e-06,2.172721273617554e-11,0.10041754106594854
wana nagrik sahakari bank,4.646456959057313e-06,2.1589562272372134e-11,0.10041754106594854
the ashta peoples coop bank ltd ashta,4.589390249519299e-06,2.1062502862382815e-11,0.10041754106594854
the bangalore city,4.514101820824081e-06,2.0377115248767283e-11,0.10041754106594854
chartered sahakari bank niyamitha,4.510350997498816e-06,2.0343266120638566e-11,0.10041754106594854
akola urban coop bank,4.463263288708003e-06,1.992071918432858e-11,0.10041754106594854
the malegaon merchants co operative bank,4.356666913508416e-06,1.898054659525895e-11,0.10041754106594854
spice money,4.3488679275697095e-06,1.891265225144446e-11,0.10041754106594854
rajkot peoples cooperative bank,4.339527264731312e-06,1.883149688134642e-11,0.10041754106594854
contai cooperative bank,4.263980153090307e-06,1.8181526745948036e-11,0.10041754106594854
the akola janta comm coop,4.226884947759577e-06,1.786655636159648e-11,0.10041754106594854
maratha cooperative bank ltd belgaum,4.18082902003713e-06,1.7479331294784632e-11,0.10041754106594854
indore premier co operative bank,4.176501302529784e-06,1.7443163130032983e-11,0.10041754106594854
nagrik sahakari maryadit gwalior,4.149782174056294e-06,1.7220692092115384e-11,0.10041754106594854
the mahanagar coop bank,4.111494021423425e-06,1.6904383088200564e-11,0.10041754106594854
sreenidhi souharda sahakari bank niyamitha,4.051133958946918e-06,1.641168635333293e-11,0.10041754106594854
pali urban,4.033377447008383e-06,1.6268133630035863e-11,0.10041754106594854
the saurashtra cooperative bank,4.000389912507411e-06,1.6003119452091053e-11,0.10041754106594854
nagpur nagrik sahakari bank,3.978605343523544e-06,1.58293004795141e-11,0.10041754106594854
saurashtra gramin,3.954003596520974e-06,1.5634144441300798e-11,0.10041754106594854
surat merccoop bank,3.950331795317276e-06,1.5605121293094612e-11,0.10041754106594854
the union co operative bank,3.9407142541197735e-06,1.5529228832622764e-11,0.10041754106594854
the davangere harihar urban sahakara bank niyamith,3.905865898295848e-06,1.5255788415470432e-11,0.10041754106594854
dombivli nagari sahakari bank ltddsb,3.902400961957126e-06,1.52287332678839e-11,0.10041754106594854
shri mahalaxmi cooperative bank ltd kolhapur,3.870488072799549e-06,1.4980677921683564e-11,0.10041754106594854
siddheshwar urban coop bank maryadit sillod,3.818665872836823e-06,1.4582209048368616e-11,0.10041754106594854
the coop bank of rajkot naranpura,3.7091465031130776e-06,1.3757767781555973e-11,0.10041754106594854
thoothukudi district central,3.680356728536204e-06,1.354502564928171e-11,0.10041754106594854
janatha seva co operative bank,3.6576915405777565e-06,1.3378707406014081e-11,0.10041754106594854
the ap mahesh coop urban,3.615767215537223e-06,1.3073772556953802e-11,0.10041754106594854
udaipur mahila samrudhi urban coop bank,3.586301481653152e-06,1.2861558317307592e-11,0.10041754106594854
the babasaheb deshmukh sahakari bank,3.56118106807097e-06,1.2682010599587095e-11,0.10041754106594854
thanjavur district central,3.5445400215530485e-06,1.2563763964391285e-11,0.10041754106594854
gujarat ambuja cooperative bank,3.5162836524325227e-06,1.2364250724364202e-11,0.10041754106594854
the pratap cooperative bank,3.5153718441885696e-06,1.2357839202913745e-11,0.10041754106594854
the chiplun urban cooperative bank,3.482471242904151e-06,1.2127605957654382e-11,0.10041754106594854
sivagangai district central,3.4619665220573953e-06,1.1985212199846178e-11,0.10041754106594854
the nawanagar co operative bank,3.382612077026814e-06,1.1442064463647659e-11,0.10041754106594854
raje vikramsinh ghatage cooperative bank ltdkagal,3.2968167865715935e-06,1.0869000924220248e-11,0.10041754106594854
shri swami samarth sahakari bank,3.29236966711157e-06,1.083969802491635e-11,0.10041754106594854
the bhuj commercial coop bank,3.276255994281583e-06,1.0733853340066005e-11,0.10041754106594854
karad urban coop bank,3.2689994542585944e-06,1.0686357431942988e-11,0.10041754106594854
the guntur cooperative urban bank,3.2491045411645406e-06,1.055668031941604e-11,0.10041754106594854
bhingar urban cooperative bank,3.2475028520668678e-06,1.0546274774182441e-11,0.10041754106594854
the shirpur peoples coop bank,3.2428004818935296e-06,1.0515754965368907e-11,0.10041754106594854
guardian souharda sahakari bank niyamita,3.159717487835274e-06,9.983814602932055e-12,0.10041754106594854
uttarakhand gramin,3.130015367982062e-06,9.796996203803883e-12,0.10041754106594854
vilas cooperative bank ltd latur,3.0590694949664736e-06,9.357906175034436e-12,0.10041754106594854
mahatma fule urban coop bank ltd amravati,3.0507897313112357e-06,9.307317984674081e-12,0.10041754106594854
the gandhinagar nagarik coop bank,3.048278473675692e-06,9.292001653074606e-12,0.10041754106594854
the naval dockyard,3.0342604794165206e-06,9.206736656948973e-12,0.10041754106594854
vidya sahakari bank,2.9995253558623914e-06,8.997152360461405e-12,0.10041754106594854
the coop bank of mehsana,2.988407323718434e-06,8.930578332453972e-12,0.10041754106594854
the sarvodaya sahakari bank ltd modasa,2.9413754695696214e-06,8.65168965298591e-12,0.10041754106594854
mahalakshmi,2.93190443246514e-06,8.596063601108734e-12,0.10041754106594854
priyadarshani urban coop bank,2.9197252068838504e-06,8.524795283712944e-12,0.10041754106594854
the merchants souharda sahakara bank ni chitadurga,2.919427016545599e-06,8.523054104936338e-12,0.10041754106594854
jivan commercial cooperative bank,2.883604831928699e-06,8.31517682672254e-12,0.10041754106594854
the navnirman coop bank,2.8648242167738123e-06,8.207217793013687e-12,0.10041754106594854
bellad bagewadi urban souharada sahakari bank nyt,2.8528340312997657e-06,8.138662010142073e-12,0.10041754106594854
lokvikas nagari sahakari bank ltd aurangabad,2.8503058288968546e-06,8.124243318243385e-12,0.10041754106594854
the sultans battery cooperative urban bank,2.8490190775324943e-06,8.116909704144105e-12,0.10041754106594854
rajarambapu sahkari bank,2.836784461190284e-06,8.047346079250651e-12,0.10041754106594854
abhinandan urban coop bank amravati,2.8286373926164994e-06,8.001189498908268e-12,0.10041754106594854
the nasik merchants coop bank,2.7865749778187627e-06,7.765000107005638e-12,0.10041754106594854
sree charan souhardha cooperative bank,2.7815656829553075e-06,7.737107648594626e-12,0.10041754106594854
jankalyan urban cooperative maryadit kallam,2.778343220012222e-06,7.719191048187883e-12,0.10041754106594854
veraval mer coop bank,2.776613344926385e-06,7.709581667223289e-12,0.10041754106594854
pune peoples coop bank ltd pune,2.754736059853612e-06,7.588570759457802e-12,0.10041754106594854
the quilon cooperative urban bank,2.734073224527955e-06,7.475156397080689e-12,0.10041754106594854
peoples urban cooperative bank,2.727476577696882e-06,7.439128481885097e-12,0.10041754106594854
madhya pradesh gramin,2.7127367075987563e-06,7.358940444753741e-12,0.10041754106594854
shrikrishna cooperative bank ltd umrer,2.694856500220617e-06,7.262251556781312e-12,0.10041754106594854
shree kadi nagrik sahkari bank ltd kadi,2.6768701518998713e-06,7.16563381013244e-12,0.10041754106594854
the rajkot commercial,2.6755538642084186e-06,7.158588480280601e-12,0.10041754106594854
karnataka mahila sahakara bank niyamitha,2.6696441786790737e-06,7.127000040755066e-12,0.10041754106594854
the bavla nagrik sahakari,2.6635106574687332e-06,7.094289022449523e-12,0.10041754106594854
mahesh urban cooperative bank ltd parbhani,2.6514323319369347e-06,7.030093410840532e-12,0.10041754106594854
the amravati zilla parishad shikshak sahakari,2.6499205911752914e-06,7.022079139534806e-12,0.10041754106594854
union bank credit card,2.6475864656612394e-06,7.009714093152573e-12,0.10041754106594854
the annasaheb savant coop urban bank mahad,2.640887685866927e-06,6.9742877693635724e-12,0.10041754106594854
the kodungallur town co operative bank,2.628813345635439e-06,6.910659606190991e-12,0.10041754106594854
the bhagyodaya cooperative bank,2.6216044262039797e-06,6.8728097674922975e-12,0.10041754106594854
the mehsana nagarik sahakari,2.615783152594277e-06,6.842321501396055e-12,0.10041754106594854
annasaheb chougule urban coop bank,2.601065844667189e-06,6.765543528294237e-12,0.10041754106594854
kanyakumari district central,2.595757223576987e-06,6.737955563752109e-12,0.10041754106594854
rani channamma mahila sahakari bank niyamit belagavi,2.5856221470043917e-06,6.6854418870796e-12,0.10041754106594854
vijay commercial co operative bank,2.5616396354306837e-06,6.561997621809446e-12,0.10041754106594854
the udupi cooperative town bank,2.5483298555441973e-06,6.49398505265791e-12,0.10041754106594854
andhra pradesh grameena vikas,2.5390771366339326e-06,6.44691270577717e-12,0.10041754106594854
the gandevi peoples co operative bank,2.4998281418708944e-06,6.249140738889688e-12,0.10041754106594854
the financial co operative bank,2.476656345707729e-06,6.133826654734361e-12,0.10041754106594854
krishna sahakari ltd rethare,2.460933420909978e-06,6.0561933021516876e-12,0.10041754106594854
the chandigarh state coop bank,2.446344623264819e-06,5.984602015776689e-12,0.10041754106594854
the bicholim urban cooperative bank,2.4455823154018594e-06,5.9808728614063196e-12,0.10041754106594854
the railway employees cooperative bank,2.444029668793627e-06,5.973281021943486e-12,0.10041754106594854
mansing cooperative bank,2.443895887363912e-06,5.972627108274243e-12,0.10041754106594854
obopay mobile technology india pvt,2.441120990847377e-06,5.959071691955681e-12,0.10041754106594854
bhavani urban cooperative bank ltd georai,2.4248848918640556e-06,5.880066738790552e-12,0.10041754106594854
commercial coop bank,2.4175351144445587e-06,5.844476029572465e-12,0.10041754106594854
the gandhi gunj cooperative bank,2.41569999195656e-06,5.835606451138924e-12,0.10041754106594854
shri janata sahakari bank ltdhalol,2.414466645681135e-06,5.829649183106712e-12,0.10041754106594854
balancehero india private,2.39203794217485e-06,5.721845516804091e-12,0.10041754106594854
shri yashwant sahakari bank maryadit kuditre,2.359985519567323e-06,5.569531652567448e-12,0.10041754106594854
navanagara urban cooperative bank,2.353127235156435e-06,5.537207784834967e-12,0.10041754106594854
shree bharat cooperative bank,2.321885740387399e-06,5.391153391414341e-12,0.10041754106594854
the bhuj mercentile coop bank,2.3217154694807435e-06,5.390362721226189e-12,0.10041754106594854
shri chhatrapati rajarshi shahu urban coop,2.3145404089947767e-06,5.357097304869709e-12,0.10041754106594854
sri sudha cooperative bank,2.283481955376312e-06,5.214289840529225e-12,0.10041754106594854
solapur janata sahakari bank,2.2812296200951715e-06,5.2040085795995606e-12,0.10041754106594854
the jamkhandi urban cooperative bank,2.2593819225386755e-06,5.104806671894562e-12,0.10041754106594854
citizen credit coopbank,2.257097314244765e-06,5.094488285970932e-12,0.10041754106594854
the andhra pragathi grameena bank,2.222426400258409e-06,4.9391791045655505e-12,0.10041754106594854
panchsheel mercoop,2.2164331709439415e-06,4.912576001260615e-12,0.10041754106594854
the vallabh vidyanagar commercial cooperative bank,2.1875174300824884e-06,4.785232506914695e-12,0.10041754106594854
the ssk coop bank,2.1744357546774495e-06,4.728170851219689e-12,0.10041754106594854
alavi co operative bank,2.1680095070844624e-06,4.700265222808614e-12,0.10041754106594854
samata co operative development bank,2.1592815807753264e-06,4.662496945075593e-12,0.10041754106594854
the veraval mercantile cooperative bank,2.150431252186803e-06,4.624354570381701e-12,0.10041754106594854
shinhan,2.142955805031092e-06,4.592259582316456e-12,0.10041754106594854
the shahada peoples coop bank,2.1359928643790467e-06,4.562465516678205e-12,0.10041754106594854
kurmanchal nagar sahkari bank,2.0938375453207687e-06,4.384155666194902e-12,0.10041754106594854
the modasa nagarik sahakari,2.085474810783459e-06,4.349205186412304e-12,0.10041754106594854
bhausaheb sahakari bank ltd udgir,2.0841852470489444e-06,4.343828144016469e-12,0.10041754106594854
koyana sahakari bank ltdkarad,2.076521000246112e-06,4.311939464463114e-12,0.10041754106594854
tamilnadu state apex coop bk,2.065400441454641e-06,4.265878983561026e-12,0.10041754106594854
indore paraspar sahakari bank ltd indore,2.050024076927515e-06,4.20259871598251e-12,0.10041754106594854
kolhapur mahila sahakari bank ltd kolhapur,2.0448998825371717e-06,4.181615529600539e-12,0.10041754106594854
the baroda city co operative bank,2.0343640984335245e-06,4.138637284995247e-12,0.10041754106594854
urban co operativa bank ltd siddharthnagar,2.0039626787253513e-06,4.015866417724086e-12,0.10041754106594854
zoroastrian coop,1.957008059402137e-06,3.829880544564919e-12,0.10041754106594854
sarakari naukarara sahakari bank niyamat vijayapur,1.909917682130098e-06,3.647785552513206e-12,0.10041754106594854
the zoroastrian co operative bank,1.9067157544144872e-06,3.635564968132407e-12,0.10041754106594854
dr appasaheb urf sa re patil jaysingpur udgaon sahakari bank ltd jaysingpur,1.8859024595439075e-06,3.5566280869137596e-12,0.10041754106594854
the kangra cooperative bank,1.8836009975334213e-06,3.5479527179088997e-12,0.10041754106594854
the hyderabad district cooperative bank ltd hdd,1.8828385824886247e-06,3.5450811277077736e-12,0.10041754106594854
omprakash deora peoples co operative bank,1.8791157299903875e-06,3.5310759266973068e-12,0.10041754106594854
the washim urban cooperative bank,1.8693083090826355e-06,3.4943135544053817e-12,0.10041754106594854
the mandvi nagrik sahakari bank,1.854419279219508e-06,3.438870863141e-12,0.10041754106594854
rajkot commercial,1.8371646023929027e-06,3.375173776285472e-12,0.10041754106594854
the rajasthan state co operative bank,1.8221086838374008e-06,3.320080055715665e-12,0.10041754106594854
the gandhidham mercantile coop bank,1.8218022661878722e-06,3.3189634970872667e-12,0.10041754106594854
shree mahuva nagrik sahakari bank,1.820470366655284e-06,3.3141123558700243e-12,0.10041754106594854
the nawnagar co op bank,1.813538109976566e-06,3.2889204763373753e-12,0.10041754106594854
janata co operative bank,1.7911955923773062e-06,3.208381650151889e-12,0.10041754106594854
jodhpur nagrik sahakari bank,1.788092459836749e-06,3.197274644925036e-12,0.10041754106594854
mahesh urban coop bank ltd ahmedpur,1.7793305501460388e-06,3.166017206683005e-12,0.10041754106594854
kashmir mercantile co operative bank,1.7620719565820414e-06,3.1048975801728637e-12,0.10041754106594854
delhi state coop bank,1.7566149508534571e-06,3.0856960855618934e-12,0.10041754106594854
the financial coop bank,1.7314868234530045e-06,2.998046619791376e-12,0.10041754106594854
unjha nagrik sahakari bank,1.717211425619206e-06,2.9488150802771457e-12,0.10041754106594854
nagarik sahakari bank maryadit vidisha,1.6811278867792443e-06,2.8261909717068476e-12,0.10041754106594854
the vijay coop bank,1.6424213474432665e-06,2.6975478825373553e-12,0.10041754106594854
appasaheb birnale sahakari bank ltd dudhgaon,1.6349105374506448e-06,2.6729324654671564e-12,0.10041754106594854
textile trders coop bank,1.6273377634035093e-06,2.648228196199136e-12,0.10041754106594854
the west bengal state coop bank,1.610871823067226e-06,2.594908030351928e-12,0.10041754106594854
sanmitra mahila nagari sahakari bank maryadit chandrapur,1.6095602055883364e-06,2.5906840554135675e-12,0.10041754106594854
scdcc,1.605726140164351e-06,2.578356437207105e-12,0.10041754106594854
kashipur urban cooperative bank,1.604000931419626e-06,2.5728189879950278e-12,0.10041754106594854
sarvodaya commercial cooperative bank,1.5961557573023526e-06,2.547713201569447e-12,0.10041754106594854
the agrasen nagari sahakari bank,1.5934179237154593e-06,2.538980679617685e-12,0.10041754106594854
the kaira district coop bank,1.5930560416040545e-06,2.537827551691179e-12,0.10041754106594854
sadhana sahakari ltd yes,1.5893548585489374e-06,2.526048866393113e-12,0.10041754106594854
sardar vallabhbhai sahakari bank,1.5377278444784907e-06,2.364606923684465e-12,0.10041754106594854
azad urban cooperative bank,1.5322189356405616e-06,2.347694866735495e-12,0.10041754106594854
banaskantha mercantile coop bank ltd palanpur,1.5267890507165378e-06,2.3310848053879065e-12,0.10041754106594854
shree mahesh cooperative bank,1.5199352213659096e-06,2.3102030771486365e-12,0.10041754106594854
satara district central coop bank,1.4860554710306577e-06,2.20836086298015e-12,0.10041754106594854
vidarbha merchants urban coop bank,1.4710865072714633e-06,2.164095511876153e-12,0.10041754106594854
maharashtra nagari sahakari bank maryadit latur,1.466028945857714e-06,2.14924087009268e-12,0.10041754106594854
the mahaveer co operative bank,1.465085658893682e-06,2.1464759878959344e-12,0.10041754106594854
sharad sahakari bank ltd manchar,1.4034394339674215e-06,1.9696422448147963e-12,0.10041754106594854
the model coop bank,1.39486374491614e-06,1.9456448668814785e-12,0.10041754106594854
the yadagiri lakshmi narasimha swamy coop urban bank,1.381097972437853e-06,1.9074316094719485e-12,0.10041754106594854
bhausaheb birajdar urban cooperative bank ltd omerga,1.3808288103584983e-06,1.9066882035160657e-12,0.10041754106594854
jamnagar district coop bank,1.3755116581915043e-06,1.892032321820742e-12,0.10041754106594854
the ranuj nagrik sahakari bank,1.3737848360554327e-06,1.887284775775852e-12,0.10041754106594854
indraprastha seh bank,1.3700147863637948e-06,1.876940514855434e-12,0.10041754106594854
solapur dcc,1.3649951285580964e-06,1.863211700987334e-12,0.10041754106594854
the naroda nagrik co operative bank,1.3561883637823362e-06,1.8392468780586103e-12,0.10041754106594854
the kopargaon peoples coopbank,1.339032732054453e-06,1.7930086575132123e-12,0.10041754106594854
mehsana district central coop bank ltd mehsana,1.3308504828887275e-06,1.7711630078051591e-12,0.10041754106594854
greater bombay coopbank,1.3292354065047677e-06,1.766866765905895e-12,0.10041754106594854
veerashaiva sahakari bank,1.3231854866972553e-06,1.7508198322062522e-12,0.10041754106594854
saraswat cooperative bank credit card,1.3158655351033514e-06,1.731502106472829e-12,0.10041754106594854
omprakash deora peoples co operative bank ltd hingoli,1.3139748246733084e-06,1.7265298398752516e-12,0.10041754106594854
bharati sahakari bank,1.3121093947703338e-06,1.7216310638445716e-12,0.10041754106594854
amreli nagrik sahakari bank,1.2973351358158894e-06,1.6830784546224321e-12,0.10041754106594854
kolhapur district central coop,1.2928985610412242e-06,1.671586689142468e-12,0.10041754106594854
shri chatrapati shivaji maharaj sahakari bank niya,1.2848592550222514e-06,1.650863305216335e-12,0.10041754106594854
chittorgarh urban co operative bank,1.2674270234885519e-06,1.6063712598690504e-12,0.10041754106594854
citibank corporate,1.2490183263930923e-06,1.5600467796658013e-12,0.10041754106594854
latur district central co op bank ltd latur,1.2400473550996502e-06,1.5377174428896378e-12,0.10041754106594854
shivalik mercantile cooperative bank,1.2169508141362527e-06,1.4809692840268882e-12,0.10041754106594854
