entity name,remitter_volume,remitter_value,beneficiary_volume,beneficiary_value,avg_remitter_ticket,avg_beneficiary_ticket,total_volume,avg_ticket,bank_segment
daund urban co operative bank ltd daund,0.0,0.0,0.00396,1.848398621,,466.76732853535356,0.00396,,Niche / Regional Bank
davanagere district central cooperative bank,0.00214,2.77862668,0.00383,3.7861355,1298.4236822429907,988.5471279373368,0.00597,1143.4854050901638,Niche / Regional Bank
dbs bank india,4959.22045,72777.51678600001,1967.01127,64562.230727,14.67519290980501,32.82250168653076,6926.23172,23.74884729816788,Universal Bank
dcb,906.92691,22808.285516,453.46637,22738.795232,25.148978671280137,50.14439159402273,1360.39328,37.646685132651434,Universal Bank
dcb bank,526.14513,12567.447623,279.4444,12474.59775,23.885895556992043,44.64071475399042,805.58953,34.26330515549123,Universal Bank
deccan merchants coopbank ltddmc,0.05698,34.79180842,0.11604,44.36272665,610.5968483678483,382.3054692347466,0.17302,496.4511588012975,Universal Bank
deendayal nagri sahakari bank,43.85872,880.9275114,30.27164,807.93363435,20.085572752693192,26.68945700827573,74.13036,23.38751488048446,Universal Bank
delhi nagrik sah bank,0.01354,7.875414731,0.02163,12.0835882,581.6406743722305,558.6494775774387,0.03517,570.1450759748345,Niche / Regional Bank
delhi state coop bank,0.05721,73.50515967,0.09221,88.51164352,1284.830618248558,959.8920238585837,0.14942,1122.361321053571,Universal Bank
deogiri nagari sahakari,209.4262,2873.25071134,97.23289,2496.88540593,13.719633509751885,25.67943219552561,306.65909,19.699532852638747,Universal Bank
deutsche,290.77873999999997,8671.4376548,9.36237,1470.9221504500001,29.821429361720188,157.11002133540973,300.14110999999997,93.46572534856496,Universal Bank
deutsche bank,493.01813,8590.4291864,12.12904,811.0620038,17.42416488091422,66.86943103493763,505.14716999999996,42.146797957925926,Universal Bank
development co operative bank ltd kanpur,0.37972,9.759772283,0.08044,3.23690799,25.702549992099442,40.24002971158628,0.46016,32.97128985184286,Retail Bank
