entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
the panchmahal district co operative bank,2567.428846,2191.865371,0.006135602,0.005238085
priyadarshani nagari sahakari bank maryadit,2517.349715,2140.587944,0.006015923,0.005115543
bangiya gramin vikash,2516.929617,2222.980914,0.00601492,0.005312444
pune district central cooperative bank,2502.28031,2441.221105,0.005979911,0.005833991
the vishweshwar sahakari bank ltd pune,2497.600537,2091.467465,0.005968727,0.004998156
kokan mercantile coopbank,2480.773069,2176.809075,0.005928513,0.005202104
the visakhapatnam cooperative bank,2465.690823,2558.697272,0.00589247,0.006114734
coastal area local,2435.836091,2304.002473,0.005821123,0.005506068
gujarat state coop bank,2405.682465,1623.380758,0.005749063,0.003879529
rbl bank,2340.18854,2364.058071,0.005592546,0.005649588
the hasti coop bank,2235.077386,2014.140414,0.005341353,0.004813361
the sutex cooperative bank,2195.428582,1787.998812,0.005246601,0.004272931
sbm,2179.171247,3629.069545,0.00520775,0.008672692
the saraswat coop bank,2168.454984,2709.01108,0.00518214,0.006473951
shri rajkot district cooperative bank,2131.913321,1734.903565,0.005094814,0.004146045
janakalyan sahakari bank,1975.880649,1652.61126,0.004721929,0.003949384
jila sahakari kendriya bank maryadit,1952.823153,918.9432942,0.004666827,0.002196076
samarth sahakari bank ltd solapur,1915.639399,1615.19506,0.004577965,0.003859967
pochampally cooperative urban bank,1837.945852,1763.364868,0.004392295,0.004214061
prime cooperative bank,1832.800296,1330.978719,0.004379998,0.003180752
the haryana state cooperative apex bank,1818.956552,1682.306583,0.004346914,0.004020349
bombay mercantile co operative bank,1807.613288,1780.210125,0.004319806,0.004254318
the ahmednagar district central coop bank,1806.120394,1169.356583,0.004316239,0.00279451
the greater bombay,1769.530134,1325.953371,0.004228796,0.003168742
arunachal pradesh rural,1726.56213,1557.723886,0.004126112,0.003722624
bajaj finance,1673.811975,320.4365669,0.00400005,0.000765774
manipur rural,1643.22828,1648.293951,0.003926962,0.003939067
the kosamba mercantile cooperative bank,1631.577505,1243.686322,0.003899119,0.002972142
the tamil nadu state apex co operative bank,1577.012168,1496.293761,0.003768719,0.003575819
