,remitter_value,remitter_value,beneficiary_value,beneficiary_value,remitter_cv,beneficiary_cv,avg_cv
,mean,std,mean,std,,,
entity name,,,,,,,
indrayani cooperative bank ltd pimpri,11.3343765,,37.07860265,,,,
indus ind bank,8892.409153,,8148.397319,,,,
indusind,24725.363359444444,2046.627169733497,25099.629729444445,2574.115024494238,0.08277440213843162,0.10255589633159155,0.0926651492350116
integral urban coop bank,2.2978068499999997,1.7439014095749636,3.41319815,2.406167394656125,0.7589416880600577,0.7049597734770028,0.7319507307685302
integral urban cooperative bank,9.469077246,,17.97370962,,,,
irinjalakkuda town coop bank,7.940588478,,7.790556576,,,,
irinjalakuda town cooperative bank,16.493643436,2.574004256985172,16.652214663333332,2.8074921503502153,0.1560603796834239,0.16859572177699936,0.16232805073021161
jagruti cooperative urban bank,0.0,,0.2018171,,,,
jai kalimata mahila urban coop bank,0.0,,0.0004206,,,,
jai tuljabhavani urban coop bank ltd osmanabad,0.0,,0.153235,,,,
jaihind urban coop bank ltd wakad,1.846848668,,4.3297839,,,,
jain coop bank,3.185861627,,4.905450456,,,,
jain sahakari bank ltdjnb,4.966410369,,11.72971807,,,,
jalaun district cooperative bank,0.0,,2.0208312,,,,
jalgaon janata sahakari bank ltd jalgaon,192.22193053333334,22.27540505254171,172.54172216666666,20.27003093024281,0.11588378594854928,0.11747901131219136,0.11668139863037033
jalgaon janta sahakari bank,0.0,,120.7862536,,,,
jalgaon peoples coop bank,142.08986625789473,16.373612272342047,133.88284544736842,15.545165386984984,0.11523420144983285,0.11611021064753249,0.11567220604868267
jalna merchants coop bank ltd jalna,39.41187117222222,4.947469379992501,42.525265786666665,5.275372760935463,0.12553246605250032,0.12405266994449918,0.12479256799849975
jalna merchants coopertaive bank,0.0,,27.85216793,,,,
jalore central,0.574752006,,1.1284831,,,,
jalore nagrik sahakari bank,21.845493055842105,8.132471477540506,21.526037647368423,7.041525765118244,0.3722722786229653,0.32711667053964655,0.3496944745813059
jamia coop bank,18.36395406,,21.76576528,,,,
jamia cooperative bank,16.647034410944443,4.648185134365687,15.139309276055554,4.54645970872243,0.2792200111816781,0.3003082654446557,0.28976413831316694
jammu and kashmir bank ltd jkb,1195.654369,,1491.754464,,,,
jammu and kashmir gramin,298.1453858194737,81.3853362695557,306.5450019236842,89.63740134818643,0.2729719799146391,0.29241188336354634,0.28269193163909273
jammu central coop bank,9.85206999,,10.92121089,,,,
jamnagar district coop bank,28.778988820000002,13.733066954477602,32.148640525,11.952187208299941,0.4771907394096413,0.37177893102526277,0.42448483521745206
jamnagar peoples co op bank,28.53286684,,26.27796897,,,,
jampeta co operative urban bank,10.742704394736842,4.478578569629892,11.914429640263158,4.748002482221152,0.41689489024980303,0.398508583757626,0.4077017370037145
jamshedpur urban cooperative bank,0.0,,0.975117782,,,,
jana small finance,379.5118005,,397.2337936,,,,
jana small finance bank,943.3949241888889,164.1983221000218,1025.7360714944443,128.91750612138316,0.17405046167827973,0.1256829214688307,0.1498666915735552
janakalyan sahakari bank,103.99371835684211,12.889592720781618,86.97953997631578,28.712969328919137,0.123945877928439,0.3301117634875693,0.22702882070800418
janakalyan urban co operative bank ltd kallam,0.776981175,,0.726355,,,,
janaseva sahakari bank borivali,23.06329469,,41.7815356,,,,
