entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%,net_flow_value,flow_type
shivalik small finance,3114.22694,2903.8702163,0.007442331433214084,0.006939622657685382,-210.3567237000002,Net Sender
suco souharda sahakari bank,2957.66951976,2697.53978496,0.00706819292879441,0.006446537488706489,-260.1297348000003,Net Sender
deogiri nagari sahakari,2873.25071134,2496.88540593,0.006866450164518328,0.005967016858871109,-376.36530541,Net Sender
thane bharat sahakari bank,2871.01362984,2266.8390345000003,0.006861104021707647,0.0054172557150938055,-604.1745953399995,Net Sender
kallappanna awade ichalkaranji janata sahkari,2834.7179327,2383.7790918,0.006774365125371646,0.005696717196076971,-450.93884089999983,Net Sender
karnataka bank,2823.044318,3296.20938,0.006746467701293413,0.007877228524031226,473.1650619999996,Net Receiver
bandhan bank,2737.327433,3528.682305,0.006541622813658892,0.008432788606769347,791.3548719999999,Net Receiver
tamilnad mercantile bank,2722.777125,2519.06307,0.006506850712370941,0.006020016686208712,-203.71405499999992,Net Sender
jalgaon peoples coop bank,2699.7074589,2543.7740635,0.006451719180701067,0.006079070623751766,-155.93339539999988,Net Sender
meghalaya rural,2696.16961858,2490.31129072,0.00644326450455623,0.005951306143354463,-205.85832785999992,Net Sender
kolhapur dist central coop bank,2652.7132159000003,1916.57059352,0.0063394130647379835,0.004580189789883797,-736.1426223800001,Net Sender
south indian bank,2600.435708,3001.599216,0.006214481083931772,0.0071731738600856005,401.1635080000001,Net Receiver
rajgurunagar sahakari bank,2588.98378022,2185.85511093,0.006187113443830375,0.005223721628150102,-403.12866928999983,Net Sender
the panchmahal district co operative bank,2567.42884567,2191.86537112,0.006135601794219401,0.005238084851946739,-375.56347455000014,Net Sender
priyadarshani nagari sahakari bank maryadit,2517.3497149,2140.58794356,0.006015923461118343,0.0051155428746483865,-376.76177134,Net Sender
bangiya gramin vikash,2516.92961668,2222.98091437,0.006014919516881786,0.005312444280178701,-293.94870231000004,Net Sender
pune district central cooperative bank,2502.280310053,2441.22110535,0.0059799108302043425,0.005833991202503665,-61.05920470299998,Net Sender
the vishweshwar sahakari bank ltd pune,2497.6005374,2091.46746484,0.00596872718181046,0.004998155539233652,-406.1330725600001,Net Sender
kokan mercantile coopbank,2480.77306875,2176.80907541,0.005928513157178293,0.005202103556962055,-303.96399334000034,Net Sender
the visakhapatnam cooperative bank,2465.6908234,2558.6972717,0.00589246984022858,0.006114733868330936,93.00644829999965,Net Receiver
coastal area local,2435.8360911,2304.0024727,0.005821123462168385,0.005506068306070689,-131.83361839999998,Net Sender
gujarat state coop bank,2405.6824654,1623.38075785,0.005749062793278121,0.0038795294038934656,-782.3017075500002,Net Sender
rbl bank,2340.18854,2364.058071,0.005592546422095166,0.005649588215584605,23.869530999999824,Net Receiver
the hasti coop bank,2235.07738574,2014.14041352,0.005341353409382158,0.004813360587179627,-220.93697221999992,Net Sender
the sutex cooperative bank,2195.42858188,1787.9988116599998,0.005246601310404869,0.004272930999347526,-407.42977022000014,Net Sender
sbm,2179.171247,3629.0695447,0.0052077497826489285,0.008672692428659933,1449.8982976999996,Net Receiver
the saraswat coop bank,2168.454984,2709.01108,0.005182140222874363,0.0064739514063553326,540.5560960000003,Net Receiver
shri rajkot district cooperative bank,2131.9133209,1734.90356522,0.005094813520886791,0.00414604482752684,-397.0097556800001,Net Sender
janakalyan sahakari bank,1975.88064878,1652.6112595499999,0.004721929051418081,0.003949383989940115,-323.2693892300001,Net Sender
jila sahakari kendriya bank maryadit,1952.823153056,918.943294237,0.004666826604324766,0.0021960760057453984,-1033.8798588189998,Net Sender
samarth sahakari bank ltd solapur,1915.6393994,1615.19506044,0.004577965444245361,0.0038599673549780107,-300.4443389600001,Net Sender
pochampally cooperative urban bank,1837.94585181,1763.36486793,0.004392294604410236,0.004214061194114056,-74.58098388000008,Net Sender
prime cooperative bank,1832.80029608,1330.978719,0.004379997834814268,0.003180751682159627,-501.82157708,Net Sender
the haryana state cooperative apex bank,1818.956552312,1682.306582858,0.0043469142698130785,0.004020349399240694,-136.64996945400003,Net Sender
bombay mercantile co operative bank,1807.6132876400002,1780.21012548,0.004319806311128574,0.004254317721527831,-27.403162160000193,Net Sender
the ahmednagar district central coop bank,1806.12039369,1169.35658256,0.004316238616228811,0.0027945096821808415,-636.7638111299998,Net Sender
the greater bombay,1769.53013398,1325.95337104,0.004228795778813373,0.0031687421858776605,-443.57676294,Net Sender
arunachal pradesh rural,1726.562130009,1557.72388618,0.004126111506685202,0.00372262366075236,-168.83824382900002,Net Sender
bajaj finance,1673.81197526,320.436566854,0.00400005000174061,0.0007657741889457785,-1353.3754084060001,Net Sender
manipur rural,1643.228279937,1648.2939505499999,0.003926961559108935,0.003939066553854832,5.065670612999838,Net Receiver
the kosamba mercantile cooperative bank,1631.577505037,1243.68632172,0.0038991187172319167,0.002972141705512731,-387.891183317,Net Sender
the tamil nadu state apex co operative bank,1577.01216839,1496.29376087,0.003768719318628077,0.0035758189285460752,-80.71840752000003,Net Sender
garagepreneurs internet private limited slice,1547.3803199,1220.6592289,0.003697905584853952,0.0029171119269168033,-326.7210909999999,Net Sender
eroute technologies private,1530.44508439,615.69987393,0.0036574340206445193,0.0014713897237813897,-914.74521046,Net Sender
shree kadi nagarik sahakari bank,1529.96108679,1259.35383748,0.0036562773706567448,0.0030095836844095266,-270.60724931000004,Net Sender
paschim banga gramin,1528.29616525,1765.3680228,0.003652298566879851,0.00421884830162481,237.07185755,Net Receiver
sbm bank india,1522.5540516,1746.1224695,0.003638576152382183,0.004172855585769022,223.5684179,Net Receiver
sindhudurg district central co op bank ltd sindhudurg,1507.45200153,1279.9715833999999,0.0036024855064185545,0.00305885564426975,-227.4804181300001,Net Sender
ahmednagar merchants coop bank,1504.60324011,1678.82944657,0.003595677580384174,0.004012039794481976,174.22620646000018,Net Receiver
the nasik merchants cooperative bank,1468.543324416,1351.2393271,0.0035095021509055167,0.0032291701597623877,-117.30399731599982,Net Sender
au small finance bank credit card,1465.56135375,8.818576787,0.0035023758834728377,2.1074493941254436e-05,-1456.742776963,Net Sender
the ap mahesh cooperative urban bank,1463.34663734,2204.4546058,0.003497083188408746,0.005268170403889747,741.1079684600002,Net Receiver
the karad urban coop bank,1446.76286319,1273.395112201,0.0034574515411281313,0.003043139298448226,-173.3677509889999,Net Sender
suvarnayug sahakari bank,1408.67705054,1271.99598883,0.003366434654399704,0.003039795695765231,-136.68106171,Net Sender
the district cooperative central bank ltdmedak,1404.251179209,1133.517205975,0.0033558577754629164,0.0027088613125014678,-270.7339732339999,Net Sender
vasai vikas sahakari,1357.3364438,984.2567174,0.003243741665512586,0.0023521609811305803,-373.07972640000014,Net Sender
the cosmos coop bank,1335.365383,1627.903952,0.003191235563817602,0.0038903388610214925,292.5385689999998,Net Receiver
kalupur commcoop,1331.496485,1347.973874,0.0031819897311432177,0.003221366432105012,16.47738900000013,Net Receiver
pune peoples co operative bank,1306.70189065,1016.8576904500001,0.003122735992587865,0.0024300702657709373,-289.84420019999993,Net Sender
the kota central cooperative bank,1305.964936535,1367.890608187,0.003120974831028168,0.0032689631253233855,61.92567165199989,Net Receiver
mizoram cooperative apex bank,1289.64424167,1099.13393458,0.003081971886558846,0.0026266927197459307,-190.51030708999997,Net Sender
bhagini nivedita sahakari bank ltd pune,1259.97784613,928.34885378,0.003011075592778309,0.002218553261700721,-331.62899235,Net Sender
the national cooperative bank,1234.2167848,1051.64195599,0.0029495122063639533,0.0025131971479288796,-182.57482880999987,Net Sender
rajarshi shahu sahakari bank,1228.60526972,1160.49568267,0.0029361018943114096,0.002773334045164089,-68.10958705000007,Net Sender
amreli jilla madhyastha sahakari bank,1202.81678184,965.13538319,0.0028744729643515447,0.0023064651220718498,-237.68139865,Net Sender
jammu and kashmir bank ltd jkb,1195.654369,1491.754464,0.002857356340790133,0.0035649709893950106,296.100095,Net Receiver
vasai vikas sahakari bank,1182.02999769,924.02704392,0.002824797028700246,0.0022082250695321056,-258.0029537700001,Net Sender
sadhana sahakari bank,1137.16218241,924.77590351,0.0027175726168537583,0.002210014682218313,-212.38627889999998,Net Sender
jila sahakari kendriya bank mydt durg,1122.3397516,613.68771053,0.0026821502006781715,0.0014665810878295403,-508.65204107,Net Sender
darussalam cooperative urban bank,1117.18369202,1113.88979187,0.002669828329143736,0.0026619560317935782,-3.293900150000127,Net Sender
model coop bank,1114.35778028,915.79062069,0.0026630750089216425,0.0021885417968622884,-198.56715959000007,Net Sender
gadchiroli district central coop bank,1105.34781124,691.78148531,0.0026415431240941747,0.0016532083433609488,-413.56632593000006,Net Sender
baroda central coop bank,1096.60034852,869.90764317,0.0026206385728150933,0.0020788913901008017,-226.69270534999987,Net Sender
dhanera mercantile coop bank,1093.62937081,1022.20761181,0.0026135385761788463,0.0024428554223796216,-71.42175899999995,Net Sender
the mehsana district central co op bank,1044.535461856,650.298033643,0.0024962147109541416,0.0015540718532067457,-394.23742821299993,Net Sender
the nalgonda dist coop central bank,1043.23404349,939.67325689,0.0024931046014471433,0.0022456161393616413,-103.56078660000003,Net Sender
sant sopankaka sahakari bank,1018.24076508,945.4372536,0.0024333760507944365,0.002259390846627487,-72.80351148,Net Sender
the banaskantha mercantile cooperative bank,1016.36249695,957.22201639,0.002428887394632499,0.002287553884498076,-59.140480560000015,Net Sender
rajarambapu sahakari bank ltd peth,971.77876309,729.92304157,0.0023223418761750903,0.0017443584252535666,-241.85572151999997,Net Sender
dattatray maharaj kalambe jaoli sahakari bank,967.81970849,946.51900212,0.0023128805886507486,0.002261975991961177,-21.300706370000057,Net Sender
vikas souharda cooperative bank,965.707627956,990.4960822200001,0.002307833171217622,0.002367071715512369,24.788454264000052,Net Receiver
dharmapuri district central coop bank,944.92788034,854.73364607,0.0022581740513665776,0.0020426288142144098,-90.19423427000004,Net Sender
the muslim cooperative bank ltd pune,939.63098719,922.3039187,0.0022455156179421267,0.0022041071724058434,-17.327068489999988,Net Sender
saraspur nagrik coop bank,919.26519663,787.73431516,0.002196845766268779,0.0018825148834254444,-131.53088146999994,Net Sender
the vijayapura district central cooperative bank ltd vijayapura,918.261898788,727.39067799,0.0021944481005847258,0.0017383066232210167,-190.87122079800008,Net Sender
the bellary dist cooperative central bank,916.97186348,645.09337214,0.002191365194133893,0.0015416338362839982,-271.87849134,Net Sender
the kolhapur urban coop,916.95525796,779.32248185,0.0021913255105187155,0.0018624124185483714,-137.63277611,Net Sender
ambajogai peoples cooperative bank,899.816463,885.2410324,0.002150367483080221,0.0021155348787534035,-14.575430600000004,Net Sender
smriti nagrik sahakari bank maryadit mandsaur,895.03487993,814.22119156,0.00213894052972454,0.0019458127975556956,-80.81368837000002,Net Sender
svc co operative bank,894.7130042,1192.328797,0.0021381713160772624,0.0028494083133008487,297.6157927999999,Net Receiver
